Datetime,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Line Number,Cause for Delay,Station Name
5/15/2020 8:40:00,Friday,YONGE BD STATION,SUCOL,0,0,E,BD,5108,LINE 2,Collector Booth Alarm Activated,NO MATCH
5/15/2020 20:50:00,Friday,YONGE BD STATION,SUDP,3,9,E,BD,5123,LINE 2,Disorderly Patron,NO MATCH
5/16/2020 11:13:00,Saturday,ROYAL YORK STATION,TUSC,0,0,E,YU,5209,LINE 1,Operator Overspeeding,NO MATCH
5/16/2020 12:36:00,Saturday,ST CLAIR STATION,EUSC,8,13,S,BD,5811,LINE 2,Speed Control Equipment  ,NO MATCH
5/16/2020 13:02:00,Saturday,ROYAL YORK STATION,TUSC,0,0,E,YU,5209,LINE 1,Operator Overspeeding,NO MATCH
5/16/2020 13:51:00,Saturday,COLLEGE STATION,MUPR1,12,17,N,BD,5621,LINE 2,Priority One - Train in Contact With Person,NO MATCH
5/16/2020 20:02:00,Saturday,HIGH PARK STATION,SUROB,5,10,W,YU,5161,LINE 1,Robbery,NO MATCH
5/16/2020 22:27:00,Saturday,RUNNYMEDE STATION,MUIRS,0,0,W,YU/BD,0,LINE 1 and LINE 2,Injured or ill Customer (In Station) - Medical Aid Refused,NO MATCH
5/20/2020 17:47:00,Wednesday,YONGE BD STATION,TUS,6,9,E,BD,5135,LINE 2,Crew Unable to Maintain Schedule,NO MATCH
5/23/2020 13:31:00,Saturday,YONGE BD STATION,TUSC,0,0,E,BD,5093,LINE 2,Operator Overspeeding,NO MATCH
5/30/2020 23:39:00,Saturday,YONGE BD STATION,MUIRS,0,0,E,BD,0,LINE 2,Injured or ill Customer (In Station) - Medical Aid Refused,NO MATCH
6/2/2020 22:39:00,Tuesday,YONGE BD STATION,SUDP,4,10,E,BD,5239,LINE 2,Disorderly Patron,NO MATCH
6/5/2020 6:19:00,Friday,YONGE BD STATION,MUPAA,0,0,W,BD,5266,LINE 2,Passenger Assistance Alarm Activated - No Trouble Found,NO MATCH
6/8/2020 12:29:00,Monday,YONGE BD STATION,SUDP,4,7,W,BD,5123,LINE 2,Disorderly Patron,NO MATCH
6/10/2020 1:04:00,Wednesday,YONGE BD STATION,SUAP,0,0,W,BD,5178,LINE 2,Assault / Patron Involved,NO MATCH
6/11/2020 5:55:00,Thursday,YONGE BD STATION,MUO,7,0,W,BD,5179,LINE 2,Miscellaneous Other,NO MATCH
6/13/2020 18:35:00,Saturday,YONGE BD STATION,MUSAN,5,11,W,SHP,6181,LINE 4,Unsanitary Vehicle,NO MATCH
