link,title,snippet,date,source
https://finance.yahoo.com/news/mairs-power-growth-fund-increased-130958374.html,Mairs & Power Growth Fund Increased its Holdings in Toro Company (TTC) on Dip,"Mairs & Power, an investment advisor, released the “Mairs & Power Growth Fund” third quarter 2024 investor letter.","Nov 25, 2024",Yahoo Finance
https://toronto.citynews.ca/2024/12/30/ttc-free-on-new-years-eve-union-station-subway-access-to-be-restricted/,"TTC free on New Year’s Eve, Union Station subway access to be restricted",The TTC will once again be free on New Years Eve to make sure everyone returns home safely from their festivities.,4 weeks ago,CityNews Toronto
https://toronto.citynews.ca/2025/01/10/ttc-board-approves-2025-budget-that-freezes-fares-invests-billions-in-new-vehicles-subway-maintenance/,"TTC Board approves 2025 budget that freezes fares, invests billions in new vehicles, subway maintenance","The TTC Board approved its 2025 budget on Friday, promising to freeze fares, improve service and invest billions in new vehicles and subway...",2 weeks ago,CityNews Toronto
https://finance.yahoo.com/news/toro-company-earnings-look-ttc-070133156.html,The Toro Company Earnings: What To Look For From TTC,"This quarter, analysts are expecting The Toro Company's revenue to grow 16.4% year on year to $1.26 billion, a reversal from the 6.8% decrease...","Sep 4, 2024",Yahoo Finance
https://www.rtands.com/passenger/ttc-to-perform-preventative-maintenance-on-lines-1-and-2/,TTC To Perform Preventative Maintenance on Lines 1 and 2,The TTC will have preventative maintenance work take place on sections of Lines 1 and 2 to repair minor track issues.,"Aug 5, 2024",Railway Track and Structures
https://simplywall.st/stocks/us/capital-goods/nyse-ttc/toro/news/toro-nysettc-is-increasing-its-dividend-to-038,Toro (NYSE:TTC) Is Increasing Its Dividend To $0.38,Toro (NYSE:TTC) Is Increasing Its Dividend To $0.38 ... The Toro Company (NYSE:TTC) has announced that it will be increasing its periodic dividend...,1 month ago,Simply Wall Street
https://finance.yahoo.com/news/why-toro-company-ttc-shares-165458719.html,Why The Toro Company (TTC) Shares Are Trading Lower Today,Shares of outdoor equipment company Toro (NYSE:TTC) fell 12% in the afternoon session after the company reported second-quarter earnings...,"Sep 5, 2024",Yahoo Finance
https://www.thestar.com/opinion/star-columnists/these-are-ttc-riders-six-most-dreaded-words-shuttle-buses-are-on-the-way/article_1ad1ad0a-a115-11ef-9452-9fc9e155453d.html,Edward Keenan: These are TTC riders’ six most dreaded words: ‘Shuttle buses are on the way’,"George due to a “security situation.” Shuttle buses on the way — eventually. No sign of those buses on the street, though hundreds and hundreds...","Nov 13, 2024",Toronto Star
https://www.geaerospace.com/news/articles/forward-thinking-ge-aerospaces-turkiye-technology-center-opens-new-location,Forward Thinking: GE Aerospace’s Türkiye Technology Center Opens New Location,"GE Aerospace engineers can now be found in Istanbul's Kartal district, at the brand-new Maya office tower.","Jun 11, 2024",GE Aerospace
https://www.businesswire.com/news/home/20240722776044/en/TTC-Global-Appoints-Thomas-Hadorn-as-Group-CEO-to-Lead-the-Next-Phase-of-Growth-and-AI-Integration,TTC Global Appoints Thomas Hadorn as Group CEO to Lead the Next Phase of Growth and AI Integration,"TTC Global appoints Thomas Hadorn as Group CEO to drive growth and AI innovation, leveraging his 25+ years of tech leadership and market...","Jul 22, 2024",Business Wire
https://finance.yahoo.com/news/toro-company-nyse-ttc-misses-123825254.html,"The Toro Company (NYSE:TTC) Misses Q2 Revenue Estimates, Stock Drops","Outdoor equipment company Toro (NYSE:TTC) fell short of analysts' expectations in Q2 CY2024, with revenue up 6.9% year on year to $1.16...","Sep 5, 2024",Yahoo Finance
https://www.blogto.com/city/2025/01/ttc-subway-closure-weekend-jan-25-26/,TTC to shut down a seven-station stretch of subway this entire weekend,"The TTC is planning to shut down service on a four-station stretch of the Line 1 subway for the entire weekend of January 25 and 26, 2025.",4 days ago,blogTO
https://www.masstransitmag.com/bus/press-release/55038257/toronto-transit-commission-ttc-ttc-to-increase-service-on-24-bus-routes-may-12,TTC to increase service on 24 bus routes May 12,"TTC to increase service on 24 bus routes May 12 ... The increases will bring bus service to 96 percent of pre-pandemic levels, the highest since...","May 8, 2024",MassTransitMag.com
https://toronto.citynews.ca/2025/01/07/ttc-freeze-fares-improved-transit-service-line1-line2-subway/,"TTC to freeze fares, improve service as part of 2025 budget",Toronto Mayor Olivia Chow is proposing a 6.5% increase in funding for the TTC while promising to restore some services cut during the pandemic.,2 weeks ago,CityNews Toronto
https://www.thestar.com/news/gta/toronto-traffic-this-weekend-closure-on-portion-of-line-1-subway-and-on-rosedale-valley/article_6ea25102-d8b3-11ef-af36-ab81ab58d881.html,"Toronto traffic this weekend: Closure on portion of Line 1 subway, and on Rosedale Valley Road","A stretch of the TTC's Yonge-University subway will close for track construction this weekend. Here's more on that closure,...",2 days ago,Toronto Star
https://simplywall.st/stocks/us/capital-goods/nyse-ttc/toro/news/toros-nysettc-earnings-have-declined-over-three-years-contri,"Toro's (NYSE:TTC) earnings have declined over three years, contributing to shareholders 14% loss","In order to justify the effort of selecting individual stocks, it's worth striving to beat the returns from a market...","Nov 23, 2024",Simply Wall Street
https://www.ctvnews.ca/video/2025/01/22/ttc-suspends-service-amid-extreme-cold/,TTC suspends service amid extreme cold,Repairs forced the suspension of the Line 1 service between Wilson and Lawrence West stations.,3 days ago,CTV News
https://www.csis.org/analysis/ttc-and-new-thought,TTC and a New Thought,"I am going to present a new thought, at least for me, on how the United States should approach the global trading system and then invite readers to comment on...","Apr 15, 2024",CSIS | Center for Strategic and International Studies
https://ca.news.yahoo.com/how-a-ttc-bus-driver-brought-his-musical-dream-back-to-life-im-just-doing-it-for-the-love-of-it-070817273.html,How a TTC bus driver brought his musical dream back to life: 'I'm just doing it for the love of it',"From resurrecting a dying dream to receiving a shoutout from rap royalty Drake, A TTC driver shares his story of resilience, passion and finding joy in...",1 month ago,Yahoo News Canada
https://www.thestar.com/news/gta/ttc-changing-subway-access-at-union-station-on-new-years-eve-in-bid-to-reduce/article_663cc7d6-c46d-11ef-a945-d353bfba90cc.html,TTC changing subway access at Union Station on New Year’s Eve in bid to reduce overcrowding,TTC changing subway access at Union Station on New Year's Eve in bid to reduce overcrowding. The TTC will also be providing free service from 7...,3 weeks ago,Toronto Star
https://theeverymom.com/trying-to-conceive-second-baby/,I'm TTC for Baby #2—Here's One Thing I'm Doing Differently This Time,I tried something different instead of the typical prenatal capsules and upgraded to Prenatal Multi Powder from Needed.,"May 14, 2024",The Everymom
https://finance.yahoo.com/news/toro-company-nyse-ttc-stocks-160808283.html,The Toro Company (NYSE:TTC) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future?,"Toro's Earnings Growth And 24% ROE. Firstly, we acknowledge that Toro has a significantly high ROE. Secondly, even when compared to the industry...","Sep 23, 2024",Yahoo Finance
https://wemovetoronto.ca/atu-local-113-welcomes-ttc-riders-report-on-bus-bunching/,ATU Local 113 welcomes TTC Riders’ report on Bus Bunching,"ATU Local 113 welcomes the report by TTC Riders on bus bunching. It's well-researched and thoughtful, and puts forward some excellent,...",1 day ago,ATU Local 113
https://skift.com/2024/07/16/apollo-acquires-the-travel-corporation-in-bet-on-group-tours/,Apollo Acquires The Travel Corporation in Bet on Group Tours,Apollo Global Management is set to acquire The Travel Corporation's (TTC) portfolio.,"Jul 16, 2024",Skift
https://www.cbc.ca/news/canada/toronto/ttc-fare-freeze-2025-proposed-budget-1.7424906,TTC plans to freeze fares for 2nd year in a row,"Toronto Mayor Olivia Chow says the Toronto Transit Commission, which is requesting an increase to its operating budget in 2025, will freeze...",2 weeks ago,CBC
https://torontosun.com/opinion/columnists/percy-familiar-challenges-bring-new-opportunities-for-renewed-swagger-at-ttc,PERCY: Familiar challenges bring new opportunities for renewed swagger at TTC,We are missing a strong pride and passion about being a TTC employee – or the swagger all our employees should have because they work at one of the largest and...,"Oct 15, 2024",Toronto Sun
https://www.travelpulse.com/news/agents/ttc-tour-brands-launches-tour-week-offering-13-fam-trips-for-over-500-advisors,"TTC Tour Brands Launches Tour Week, Offering 13 FAM Trips for 500+ Advisors","TTC Tour Brands Launches Tour Week, Offering 13 FAM Trips for 500+ Advisors ... TTC Tour Brands has launched a new way to showcase its brands,...","Oct 15, 2024",TravelPulse
https://www.cbc.ca/player/play/video/9.6605556,TTC staff now using body-worn cameras,TTC staff will now be equipped with body-worn cameras in an effort to improve safety and crack down on fare evasion.,3 weeks ago,CBC
https://simplywall.st/stocks/us/capital-goods/nyse-ttc/toro/news/the-toro-companys-nysettc-popularity-with-investors-is-under,The Toro Company's (NYSE:TTC) Popularity With Investors Is Under Threat From Overpricing,We've established that Toro currently trades on a much higher than expected P/E since its forecast growth is lower than the wider market. Right...,"Nov 5, 2024",Simply Wall Street
https://www.travelpulse.com/news/tour-operators/ttc-tour-brands-announces-2025-big-tour-sale,TTC Tour Brands Announces 2025 Big Tour Sale,"If you or your clients missed out on some Black Friday deals, then TTC Tour Brands' 2025 Big Tour Sale is one of the best ways to save big...",1 month ago,TravelPulse
https://www.narcity.com/toronto/ttc-jobs-students-toronto-make-up-to-23-an-hour,These TTC jobs for students are available in Toronto you can make up to $23 an hour,"The Toronto Transit Commission (TTC) is hiring students to work all over the city. If you're a student, you can get TTC jobs in admin,...",5 days ago,Narcity
https://simplywall.st/stocks/us/capital-goods/nyse-ttc/toro/news/calculating-the-intrinsic-value-of-the-toro-company-nysettc-1,Calculating The Intrinsic Value Of The Toro Company (NYSE:TTC),"Key Insights Using the 2 Stage Free Cash Flow to Equity, Toro fair value estimate is US$95.99 With US$86.65 share...","Sep 29, 2024",Simply Wall Street
https://www.unifor.org/news/all-news/unifor-welcomes-758-million-federal-government-investment-canadian-made-ttc-subway,Unifor welcomes $758 million federal government investment in Canadian-made TTC subway cars,TORONTO—Unifor is pleased to hear today's long-awaited federal government commitment to fund new Toronto Transit Commission (TTC) subway...,"Nov 29, 2024",Unifor National
https://www.travelagewest.com/Travel/Tour-Operators/ttc-impact-report-2023,TTC Tour Brands Reports Progress in Sustainability Goals,"In line with its commitment to impactful experiences, TTC Tour Brands added approximately 180 new Make Travel Matter Experiences in 2023,...","Jun 5, 2024",TravelAge West
